LoRA Configuration;Sample Count;Mean SSIM;Min Score;Max Score;;;;
Rank-8-Alpha-4;5;0,2066;0,1928;0,2261;;0,00002066;0,00001928;0,00002261
Rank-8-Alpha-8;5;0,2127;0,1812;0,2474;;0,00002127;0,00001812;0,00002474
Rank-8-Alpha-16;5;0,2001;0,1847;0,2091;;0,00002001;0,00001847;0,00002091
Rank-16-Alpha-8;5;0,1985;0,1907;0,2111;;0,00001985;0,00001907;0,00002111
Rank-16-Alpha-16;5;0,0235;0,1989;0,2697;;0,00000235;0,00001989;0,00002697
Rank-16-Alpha-32;5;0,2148;0,1972;0,2467;;0,00002148;0,00001972;0,00002467
Rank-32-Alpha-16;5;0,2338;0,2141;0,2487;;0,00002338;0,00002141;0,00002487
Rank-32-Alpha-32;5;0,1905;0,1789;0,2071;;0,00001905;0,00001789;0,00002071
Rank-32-Alpha-64;5;0,2008;0,1777;0,2134;;0,00002008;0,00001777;0,00002134
