LoRA Configuration,Sample Count,Mean CLIP Score,Min Score,Max Score
R8_A4,5,0.2725,0.252,0.2933
R8_A8,5,0.2689,0.2386,0.2873
R8_A16,5,0.2786,0.2755,0.2818
R16_A8,5,0.2751,0.2599,0.2878
R16_A16,5,0.277,0.2701,0.2854
R16_A32,5,0.2686,0.2461,0.2904
R32_A16,5,0.2697,0.2523,0.3004
R32_A32,5,0.2742,0.2536,0.2873
R32_A64,5,0.2757,0.2547,0.2926
